,price,type,room_num,floor,area_m2,floors_num,year_built,last_refurbishment,city,zip,lat,lon,canton
0,"1,235,000",Apartment,2.5,GF,138,4.0,2015.0,2018.0,Aeugst am Albis,8914,47.2822,8.489650000000001,Kanton Zürich
1,"650,000",Apartment,4.5,1,121,1.0,1987.0,2021.0,Agno,6982,46.0005,8.9028,Ticino
2,"1,062,900",Apartment,2.5,1,63,1.0,,,Bissone,6816,45.951,8.9655,Ticino
3,"1,125,500",Attic flat,2.5,3,63,1.0,,,Bissone,6816,45.951,8.9655,Ticino
4,"2,180,700",Apartment,3.5,2,125,1.0,,,Bissone,6816,45.951,8.9655,Ticino
5,"2,695,600",Apartment,5.5,GF,180,1.0,,,Bissone,6816,45.951,8.9655,Ticino
6,"3,700,000",Apartment,6.0,1,223,3.0,2022.0,2022.0,Bottmingen,4103,47.522,7.5765,Kanton Basel-Landschaft
7,"799,000",Apartment,3.5,1,110,4.0,2011.0,2011.0,Buchs,8107,47.4588,8.437,Kanton Zürich
8,"990,000",Attic flat,3.5,2,214,1.0,2001.0,2001.0,Jonschwil,9243,47.423,9.0951,Kanton St. Gallen
9,"660,000",Apartment,2.5,GF,90,1.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich
10,"910,000",Apartment,3.5,3,119,1.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich
11,"1,180,000",Duplex,5.5,GF,173,4.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich
12,"1,390,000",Duplex,5.5,4,184,2.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich
13,"890,000",Apartment,4.5,1,103,1.0,2022.0,2022.0,Kreuzlingen,8280,47.6415,9.173533333333332,Kanton Thurgau
14,"495,000",Apartment,2.5,2,64,1.0,2022.0,2022.0,Lugano,6900,46.0126,8.951066666666668,Ticino
15,"1,290,000",Terrace flat,5.5,GF,175,1.0,2022.0,2022.0,Matzingen,9548,47.5253,8.9285,Kanton Thurgau
16,"520,000",Apartment,4.5,1,88,1.0,1977.0,1977.0,Meisterschwanden,5616,47.2902,8.2258,Kanton Aargau
17,"950,000",Apartment,3.5,1,90,1.0,,,Mettmenstetten,8932,47.2478,8.464,Kanton Zürich
18,"1,370,000",Apartment,4.5,GF,110,1.0,,,Mettmenstetten,8932,47.2478,8.464,Kanton Zürich
19,"1,440,000",Apartment,5.5,1,131,1.0,,,Mettmenstetten,8932,47.2478,8.464,Kanton Zürich
20,"650,000",Apartment,4.5,1,98,1.0,1992.0,2017.0,Oberrohrdorf,5452,47.4251,8.3205,Kanton Aargau
21,"1,055,000",Apartment,4.5,GF,116,1.0,1982.0,1982.0,Oetwil an der Limmat,8955,47.431,8.3979,Kanton Zürich
22,"1,050,000",Duplex,4.5,1,157,2.0,1993.0,2022.0,Pratteln,4133,47.5192,7.692,Kanton Basel-Landschaft
23,"830,000",Apartment,4.5,2,127,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau
24,"855,000",Apartment,4.5,GF,127,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau
25,"1,075,000",Attic flat,4.5,3,144,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau
26,"1,085,000",Attic flat,4.5,3,144,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau
27,"2,400,000",Apartment,6.5,14,200,1.0,,2019.0,Rorschacherberg,9404,47.4803,9.5104,Kanton St. Gallen
28,"600,000",Apartment,4.5,GF,75,1.0,1972.0,2022.0,Rothenburg,6023,47.1046,8.2625,Kanton Luzern
29,"895,000",Apartment,4.5,1,121,4.0,2015.0,2015.0,Schaffhausen,8207,47.7228,8.673,Kanton Schaffhausen
30,"510,000",Apartment,2.5,3,58,1.0,1972.0,2021.0,Seewen SZ,6423,47.0328,8.6281,Kanton Schwyz
31,"580,000",Apartment,3.5,GF,85,1.0,,,Siglistorf,5462,47.5387,8.387,Kanton Aargau
32,"815,000",Apartment,5.5,1,128,1.0,,,Siglistorf,5462,47.5387,8.387,Kanton Aargau
33,"1,400,000",Roof flat,6.5,4,160,1.0,2009.0,2009.0,St-Blaise,2072,47.0351,6.9969,Neuchâtel
34,"1,480,000",Attic flat,5.5,3,210,1.0,2012.0,2012.0,Stein AG,4332,47.5452,7.9528,Kanton Aargau
