,price,type,room_num,floor,area_m2,floors_num,year_built,last_refurbishment,address
0,"CHF1,235,000.–",Apartment,2.5,GF,138 m2,4,2015,2018,8914 Aeugst am Albis
1,"CHF650,000.–",Apartment,4.5,1,121 m2,,1987,2021,"Via Vecchio Canale 2, 6982 Agno"
2,"CHF1,062,900.–",Apartment,2.5,1,63 m2,,,,"Via Campione, 6816 Bissone"
3,"CHF1,125,500.–",Attic flat,2.5,3,63 m2,,,,"Via Campione, 6816 Bissone"
4,"CHF2,180,700.–",Apartment,3.5,2,125 m2,,,,"Via Campione, 6816 Bissone"
5,"CHF2,695,600.–",Apartment,5.5,GF,180 m2,,,,"Via Campione, 6816 Bissone"
6,"CHF3,700,000.–",Apartment,6,1,223 m2,3,2022,,4103 Bottmingen
7,"CHF799,000.–",Apartment,3.5,1,110 m2,4,2011,,"Mülibachstrasse 55, 8107 Buchs"
8,"CHF990,000.–",Attic flat,3.5,2,214 m2,,2001,,"Sonnenhaldenstrasse 11A, 9243 Jonschwil"
9,"CHF660,000.–",Apartment,2.5,GF,90 m2,,2023,,8483 Kollbrunn
10,"CHF910,000.–",Apartment,3.5,3,119 m2,,2023,,8483 Kollbrunn
11,"CHF1,180,000.–",Duplex,5.5,GF,173 m2,4,2023,,8483 Kollbrunn
12,"CHF1,390,000.–",Duplex,5.5,4,184 m2,2,2023,,8483 Kollbrunn
13,"CHF890,000.–",Apartment,4.5,1,103 m2,,2022,,"Remisbergstrasse 14, 8280 Kreuzlingen"
14,"CHF495,000.–",Apartment,2.5,2,64 m2,,2022,,6900 Lugano
15,"CHF1,290,000.–",Terrace flat,5.5,,175 m2,,2022,,"Haldenstrasse 30, 9548 Matzingen"
16,"CHF520,000.–",Apartment,4.5,1,88 m2,,1977,,"Gartenweg 4, 5616 Meisterschwanden"
17,"CHF950,000.–",Apartment,3.5,1,90 m2,,,,"Bachmattstrasse, 8932 Mettmenstetten"
18,"CHF1,370,000.–",Apartment,4.5,GF,110 m2,,,,"Bachmattstrasse, 8932 Mettmenstetten"
19,"CHF1,440,000.–",Apartment,5.5,1,131 m2,,,,"Bachmattstrasse, 8932 Mettmenstetten"
20,"CHF650,000.–",Apartment,4.5,1,98 m2,,1992,2017,"Loonstrasse 33, 5452 Oberrohrdorf"
21,"CHF1,055,000.–",Apartment,4.5,GF,116 m2,,1982,,"Rebackerstrasse, 8955 Oetwil an der Limmat"
22,"CHF1,050,000.–",Duplex,4.5,1,157 m2,2,1993,2022,"Schmiedestrasse 16, 4133 Pratteln"
23,"CHF830,000.–",Apartment,4.5,2,127 m2,,,,"Herrenweg 8, 5734 Reinach AG"
24,"CHF855,000.–",Apartment,4.5,GF,127 m2,,,,"Herrenweg 8, 5734 Reinach AG"
25,"CHF1,075,000.–",Attic flat,4.5,3,144 m2,,,,"Herrenweg 8, 5734 Reinach AG"
26,"CHF1,085,000.–",Attic flat,4.5,3,144 m2,,,,"Herrenweg 12, 5734 Reinach AG"
27,"CHF2,400,000.–",Apartment,6.5,14,200 m2,,,2019,"Seehaldenstrasse 28, 9404 Rorschacherberg"
28,"CHF600,000.–",Apartment,4.5,GF,75 m2,,1972,2022,"Lehnstrasse 32, 6023 Rothenburg"
29,"CHF895,000.–",Apartment,4.5,1,121 m2,4,2015,,"Thayngerstrasse 63, 8207 Schaffhausen"
30,"CHF510,000.–",Apartment,2.5,3,58 m2,,1972,2021,"Bahnhofstrasse 114, 6423 Seewen SZ"
31,"CHF580,000.–",Apartment,3.5,GF,85 m2,,,,"Erlenstrasse, 5462 Siglistorf"
32,"CHF815,000.–",Apartment,5.5,1,128 m2,,,,"Erlenstrasse, 5462 Siglistorf"
33,"CHF1,400,000.–",Roof flat,6.5,4,160 m2,,2009,,"Franco-Suisse 10, 2072 St-Blaise"
34,"CHF1,480,000.–",Attic flat,5.5,3,210 m2,,2012,,4332 Stein AG
35,"CHF1,490,000.–",Terrace flat,5.5,,180 m2,3,2022,,"Fürstenlandstrasse 69, 9500 Wil"
36,"CHF951,000.–",Apartment,2.5,1,92 m2,,,,"Ernst Jung Gasse 16-18, 8400 Winterthur"
37,"CHF1,199,000.–",Apartment,3.5,1,113 m2,,,,"Ernst Jung Gasse 16-18, 8400 Winterthur"
38,"CHF840,000.–",Apartment,3.5,1,97 m2,,2022,,"Ferenbacherrain 16, 8909 Zwillikon"
39,"CHF2,600,000.–",Apartment,3.5,4,124 m2,6,2012,,"Wolframplatz 11, 8045 Zürich"
40,"CHF1,390,000.–",Terrace flat,4.5,5,176 m2,,2019,,"Eigerweg 20, 4912 Aarwangen"
41,"CHF865,000.–",Apartment,4.5,3,98 m2,,,2020,8106 Adlikon b. Regensdorf
42,"CHF330,000.–",Apartment,3.5,2,70 m2,,1960,2010,"Via Ponte Vecchio 2, 6982 Agno"
43,"CHF790,000.–",Attic flat,4.5,3,137 m2,,2011,,"Via cantonale 29/A, 6982 Agno"
44,"CHF470,000.–",Apartment,2.5,GF,62 m2,,,,"Via Montalbano, 6925 Agra"
45,"CHF2,600,000.–",Apartment,3.5,4,124 m2,6,2012,,"Wolframplatz 11, 8045 Zürich"
46,"CHF1,390,000.–",Terrace flat,4.5,5,176 m2,,2019,,"Eigerweg 20, 4912 Aarwangen"
47,"CHF865,000.–",Apartment,4.5,3,98 m2,,,2020,8106 Adlikon b. Regensdorf
48,"CHF330,000.–",Apartment,3.5,2,70 m2,,1960,2010,"Via Ponte Vecchio 2, 6982 Agno"
49,"CHF790,000.–",Attic flat,4.5,3,137 m2,,2011,,"Via cantonale 29/A, 6982 Agno"
50,"CHF470,000.–",Apartment,2.5,GF,62 m2,,,,"Via Montalbano, 6925 Agra"
51,"CHF3,251,000.–",Apartment,4.5,,149 m2,5,2021,,6974 Aldesago
52,"CHF6,630,000.–",Apartment,6.5,,400 m2,2,2021,,6974 Aldesago
