,price,type,room_num,floor,area_m2,floors_num,year_built,last_refurbishment,city,zip,lat,lon,canton,population
0,1235000,Apartment,2.5,GF,138.0,4.0,2015.0,2018.0,Aeugst am Albis,8914,47.2822,8.489650000000001,Kanton Zürich,1982.0
1,650000,Apartment,4.5,1,121.0,1.0,1987.0,2021.0,Agno,6982,46.0005,8.9028,Ticino,4445.0
2,1062900,Apartment,2.5,1,63.0,1.0,,,Bissone,6816,45.951,8.9655,Ticino,
3,1125500,Attic flat,2.5,3,63.0,1.0,,,Bissone,6816,45.951,8.9655,Ticino,
4,2180700,Apartment,3.5,2,125.0,1.0,,,Bissone,6816,45.951,8.9655,Ticino,
5,2695600,Apartment,5.5,GF,180.0,1.0,,,Bissone,6816,45.951,8.9655,Ticino,
6,3700000,Apartment,6.0,1,223.0,3.0,2022.0,2022.0,Bottmingen,4103,47.522,7.5765,Kanton Basel-Landschaft,6691.0
7,799000,Apartment,3.5,1,110.0,4.0,2011.0,2011.0,Buchs,8107,47.4588,8.437,Kanton Zürich,12612.0
8,799000,Apartment,3.5,1,110.0,4.0,2011.0,2011.0,Buchs,8107,47.4588,8.437,Kanton Zürich,7966.0
9,799000,Apartment,3.5,1,110.0,4.0,2011.0,2011.0,Buchs,8107,47.4588,8.437,Kanton Zürich,6303.0
10,990000,Attic flat,3.5,2,214.0,1.0,2001.0,2001.0,Jonschwil,9243,47.423,9.0951,Kanton St. Gallen,3773.0
11,660000,Apartment,2.5,GF,90.0,1.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich,
12,910000,Apartment,3.5,3,119.0,1.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich,
13,1180000,Duplex,5.5,GF,173.0,4.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich,
14,1390000,Duplex,5.5,4,184.0,2.0,2023.0,2023.0,Kollbrunn,8483,47.4557,8.7783,Kanton Zürich,
15,890000,Apartment,4.5,1,103.0,1.0,2022.0,2022.0,Kreuzlingen,8280,47.6415,9.173533333333332,Kanton Thurgau,21801.0
16,495000,Apartment,2.5,2,64.0,1.0,2022.0,2022.0,Lugano,6900,46.0126,8.951066666666668,Ticino,63185.0
17,1290000,Terrace flat,5.5,GF,175.0,1.0,2022.0,2022.0,Matzingen,9548,47.5253,8.9285,Kanton Thurgau,2917.0
18,520000,Apartment,4.5,1,88.0,1.0,1977.0,1977.0,Meisterschwanden,5616,47.2902,8.2258,Kanton Aargau,2960.0
19,950000,Apartment,3.5,1,90.0,1.0,,,Mettmenstetten,8932,47.2478,8.464,Kanton Zürich,4865.0
20,1370000,Apartment,4.5,GF,110.0,1.0,,,Mettmenstetten,8932,47.2478,8.464,Kanton Zürich,4865.0
21,1440000,Apartment,5.5,1,131.0,1.0,,,Mettmenstetten,8932,47.2478,8.464,Kanton Zürich,4865.0
22,650000,Apartment,4.5,1,98.0,1.0,1992.0,2017.0,Oberrohrdorf,5452,47.4251,8.3205,Kanton Aargau,4072.0
23,1055000,Apartment,4.5,GF,116.0,1.0,1982.0,1982.0,Oetwil an der Limmat,8955,47.431,8.3979,Kanton Zürich,2464.0
24,1050000,Duplex,4.5,1,157.0,2.0,1993.0,2022.0,Pratteln,4133,47.5192,7.692,Kanton Basel-Landschaft,16621.0
25,830000,Apartment,4.5,2,127.0,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau,
26,855000,Apartment,4.5,GF,127.0,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau,
27,1075000,Attic flat,4.5,3,144.0,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau,
28,1085000,Attic flat,4.5,3,144.0,1.0,,,Reinach AG,5734,47.2612,8.1793,Kanton Aargau,
29,2400000,Apartment,6.5,14,200.0,1.0,,2019.0,Rorschacherberg,9404,47.4803,9.5104,Kanton St. Gallen,7285.0
30,600000,Apartment,4.5,GF,75.0,1.0,1972.0,2022.0,Rothenburg,6023,47.1046,8.2625,Kanton Luzern,7571.0
31,895000,Apartment,4.5,1,121.0,4.0,2015.0,2015.0,Schaffhausen,8207,47.7228,8.673,Kanton Schaffhausen,36587.0
32,510000,Apartment,2.5,3,58.0,1.0,1972.0,2021.0,Seewen SZ,6423,47.0328,8.6281,Kanton Schwyz,
33,580000,Apartment,3.5,GF,85.0,1.0,,,Siglistorf,5462,47.5387,8.387,Kanton Aargau,
34,815000,Apartment,5.5,1,128.0,1.0,,,Siglistorf,5462,47.5387,8.387,Kanton Aargau,
35,1400000,Roof flat,6.5,4,160.0,1.0,2009.0,2009.0,St-Blaise,2072,47.0351,6.9969,Neuchâtel,
36,1480000,Attic flat,5.5,3,210.0,1.0,2012.0,2012.0,Stein AG,4332,47.5452,7.9528,Kanton Aargau,
37,1490000,Terrace flat,5.5,GF,180.0,3.0,2022.0,2022.0,Wil,9500,47.4622,9.0517,Kanton St. Gallen,23768.0
38,1490000,Terrace flat,5.5,GF,180.0,3.0,2022.0,2022.0,Wil,9500,47.4622,9.0517,Kanton St. Gallen,1425.0
39,951000,Apartment,2.5,1,92.0,1.0,,,Winterthur,8400,47.4931,8.7297,Kanton Zürich,109775.0
40,1199000,Apartment,3.5,1,113.0,1.0,,,Winterthur,8400,47.4931,8.7297,Kanton Zürich,109775.0
41,840000,Apartment,3.5,1,97.0,1.0,2022.0,2022.0,Zwillikon,8909,47.2895,8.4311,Kanton Zürich,
42,2600000,Apartment,3.5,4,124.0,6.0,2012.0,2012.0,Zürich,8045,47.3531,8.5089,Kanton Zürich,434008.0
43,1390000,Terrace flat,4.5,5,176.0,1.0,2019.0,2019.0,Aarwangen,4912,47.2357,7.7643,Canton de Berne,4514.0
44,865000,Apartment,4.5,3,98.0,1.0,,2020.0,Adlikon b. Regensdorf,8106,47.4527,8.4634,Kanton Zürich,
45,330000,Apartment,3.5,2,70.0,1.0,1960.0,2010.0,Agno,6982,46.0005,8.9028,Ticino,4445.0
46,790000,Attic flat,4.5,3,137.0,1.0,2011.0,2011.0,Agno,6982,46.0005,8.9028,Ticino,4445.0
47,470000,Apartment,2.5,GF,62.0,1.0,,,Agra,6925,45.9917,8.9261,Ticino,
48,2600000,Apartment,3.5,4,124.0,6.0,2012.0,2012.0,Zürich,8045,47.3531,8.5089,Kanton Zürich,434008.0
49,1390000,Terrace flat,4.5,5,176.0,1.0,2019.0,2019.0,Aarwangen,4912,47.2357,7.7643,Canton de Berne,4514.0
50,865000,Apartment,4.5,3,98.0,1.0,,2020.0,Adlikon b. Regensdorf,8106,47.4527,8.4634,Kanton Zürich,
51,330000,Apartment,3.5,2,70.0,1.0,1960.0,2010.0,Agno,6982,46.0005,8.9028,Ticino,4445.0
52,790000,Attic flat,4.5,3,137.0,1.0,2011.0,2011.0,Agno,6982,46.0005,8.9028,Ticino,4445.0
53,470000,Apartment,2.5,GF,62.0,1.0,,,Agra,6925,45.9917,8.9261,Ticino,
54,3251000,Apartment,4.5,GF,149.0,5.0,2021.0,2021.0,Aldesago,6974,46.0094,8.9798,Ticino,
55,6630000,Apartment,6.5,GF,400.0,2.0,2021.0,2021.0,Aldesago,6974,46.0094,8.9798,Ticino,
56,565000,Apartment,4.5,GF,102.0,1.0,2012.0,2012.0,Arbedo-Castione,6517,46.1987,9.086,Ticino,
57,525000,Apartment,,GF,,1.0,,,Ardon,1957,46.23,7.2379,Canton du Valais,3212.0
58,1390000,Apartment,2.5,1,66.0,1.0,2011.0,2011.0,Arosa,7050,46.7699,9.6683,Kanton Graubünden,3185.0
59,1480000,Apartment,5.5,GF,150.0,1.0,1928.0,2013.0,Arosa,7050,46.7699,9.6683,Kanton Graubünden,3185.0
60,760000,Apartment,2.5,1,65.0,1.0,,2021.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
61,875000,Roof flat,3.5,GF,60.0,1.0,,,Ascona,6612,46.1477,8.772,Ticino,5534.0
62,980000,Apartment,2.5,1,90.0,1.0,1990.0,2006.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
63,1190000,Attic flat,4.5,3,132.0,3.0,2022.0,2022.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
64,1370000,Apartment,4.5,GF,100.0,1.0,2013.0,2015.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
65,1450000,Apartment,4.5,GF,120.0,3.0,1989.0,2016.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
66,1495000,Duplex,3.5,GF,106.0,2.0,2018.0,2018.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
67,2450000,Apartment,3.5,1,146.0,5.0,,,Ascona,6612,46.1477,8.772,Ticino,5534.0
68,2800000,Apartment,5.5,2,190.0,5.0,2021.0,2021.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
69,2885000,Apartment,5.5,3,190.0,5.0,,,Ascona,6612,46.1477,8.772,Ticino,5534.0
70,5660000,Duplex,5.5,4,,4.0,2021.0,2021.0,Ascona,6612,46.1477,8.772,Ticino,5534.0
71,3500000,Attic flat,3.5,GF,180.0,1.0,2004.0,2017.0,Baar,6340,47.229,8.554400000000001,Kanton Zug,24322.0
72,439000,Apartment,2.5,18,78.0,18.0,1963.0,1994.0,Baden,5400,47.4721,8.2914,Kanton Aargau,19122.0
73,745000,Apartment,4.5,GF,162.0,1.0,2013.0,2013.0,Balerna,6828,45.8432,9.0077,Ticino,3269.0
74,625000,Apartment,4.5,1,,2.0,2022.0,2022.0,Balsthal,4710,47.3143,7.7003,Kanton Solothurn,6117.0
75,855000,Apartment,4.5,GF,88.0,1.0,1993.0,2019.0,Bassersdorf,8303,47.4404,8.6304,Kanton Zürich,11593.0
76,1195000,Apartment,4.5,GF,114.0,1.0,2005.0,2005.0,Bassersdorf,8303,47.4404,8.6304,Kanton Zürich,11593.0
77,1350000,Attic flat,4.5,2,210.0,1.0,1983.0,2010.0,Bassersdorf,8303,47.4404,8.6304,Kanton Zürich,11593.0
78,840000,Terrace flat,3.5,GF,116.0,1.0,2022.0,2022.0,Beinwil am See,5712,47.2665,8.2086,Kanton Aargau,3276.0
79,960000,Terrace flat,4.5,GF,152.0,1.0,2022.0,2022.0,Beinwil am See,5712,47.2665,8.2086,Kanton Aargau,3276.0
80,1460000,Attic flat,3.5,GF,142.0,1.0,2016.0,2016.0,Beinwil am See,5712,47.2665,8.2086,Kanton Aargau,3276.0
81,1480000,Apartment,5.0,1,129.0,1.0,2009.0,2009.0,Bellevue,1293,46.2545,6.1455,Genève,3299.0
82,1580000,Apartment,5.5,GF,188.0,1.0,2003.0,2003.0,Bellikon,5454,47.3916,8.3494,Kanton Aargau,1562.0
83,400000,Apartment,2.5,GF,64.0,1.0,,,Bellinzona,6500,46.1999,9.02528,Ticino,43220.0
84,420000,Apartment,2.5,1,60.0,1.0,2022.0,2022.0,Bellinzona,6500,46.1999,9.02528,Ticino,43220.0
